n,prime,is_mersenne,ms
1,1000000000000000003,0,0.189
2,1000000000000000009,0,0.012
3,1000000000000000031,0,0.011
4,1000000000000000079,0,0.017
5,1000000000000000183,0,0.021
6,1000000000000000201,0,0.016
7,1000000000000000283,0,0.018
8,1000000000000000381,0,0.020
9,1000000000000000523,0,0.026
10,1000000000000000583,0,0.012
11,1000000000000000603,0,0.006
12,1000000000000000619,0,0.012
13,1000000000000000621,0,0.010
14,1000000000000000799,0,0.033
15,1000000000000000841,0,0.013
16,1000000000000000861,0,0.012
17,1000000000000000877,0,0.007
18,1000000000000000913,0,0.009
19,1000000000000000931,0,0.012
20,1000000000000000997,0,0.014
21,1000000000000001093,0,0.021
22,1000000000000001191,0,0.022
23,1000000000000001267,0,0.014
24,1000000000000001323,0,0.014
25,1000000000000001359,0,0.014
26,1000000000000001453,0,0.017
27,1000000000000001459,0,0.009
28,1000000000000001537,0,0.016
29,1000000000000001563,0,0.008
30,1000000000000001593,0,0.009
31,1000000000000001659,0,0.019
32,1000000000000001683,0,0.009
33,1000000000000001729,0,0.016
34,1000000000000001743,0,0.008
35,1000000000000001771,0,0.011
36,1000000000000001879,0,0.023
37,1000000000000001953,0,0.017
38,1000000000000002049,0,0.022
39,1000000000000002137,0,0.016
40,1000000000000002271,0,0.027
41,1000000000000002319,0,0.015
42,1000000000000002481,0,0.029
43,1000000000000002493,0,0.006
44,1000000000000002497,0,0.006
45,1000000000000002509,0,0.011
46,1000000000000002539,0,0.013
47,1000000000000002557,0,0.008
48,1000000000000002587,0,0.010
49,1000000000000002611,0,0.012
50,1000000000000002679,0,0.016
51,1000000000000002851,0,0.029
52,1000000000000002857,0,0.007
53,1000000000000002901,0,0.014
54,1000000000000002931,0,0.015
55,1000000000000002961,0,0.012
56,1000000000000003111,0,0.027
57,1000000000000003129,0,0.010
58,1000000000000003139,0,0.010
59,1000000000000003187,0,0.012
60,1000000000000003201,0,0.011
61,1000000000000003271,0,0.017
62,1000000000000003279,0,0.011
63,1000000000000003337,0,0.011
64,1000000000000003339,0,0.010
65,1000000000000003423,0,0.017
66,1000000000000003489,0,0.016
67,1000000000000003493,0,0.007
68,1000000000000003529,0,0.014
69,1000000000000003621,0,0.021
70,1000000000000003643,0,0.009
71,1000000000000003661,0,0.009
72,1000000000000003669,0,0.010
73,1000000000000003733,0,0.014
74,1000000000000003811,0,0.018
75,1000000000000003813,0,0.006
76,1000000000000003973,0,0.027
77,1000000000000004071,0,0.022
78,1000000000000004083,0,0.006
79,1000000000000004117,0,0.009
80,1000000000000004189,0,0.019
81,1000000000000004209,0,0.011
82,1000000000000004231,0,0.011
83,1000000000000004383,0,0.024
84,1000000000000004387,0,0.006
85,1000000000000004413,0,0.010
86,1000000000000004447,0,0.010
87,1000000000000004449,0,0.009
88,1000000000000004477,0,0.008
89,1000000000000004503,0,0.009
90,1000000000000004551,0,0.014
91,1000000000000004561,0,0.009
92,1000000000000004573,0,0.007
93,1000000000000004599,0,0.013
94,1000000000000004671,0,0.018
95,1000000000000004777,0,0.019
96,1000000000000004803,0,0.008
97,1000000000000004879,0,0.019
98,1000000000000004981,0,0.023
99,1000000000000004989,0,0.011
100,1000000000000005029,0,0.015
